6.8064	7.1086	7.4355	7.7766	8.1081	8.412	8.6828	8.9204	9.1172	9.2723	9.3875	9.4623	9.501	9.5234	9.5293	9.5431	9.5867	9.6303	9.6722	9.7137	9.7572	9.8134	9.9122	10.044	10.188	10.33	10.471	10.604	10.724	10.83	10.916	10.981	11.02	11.03	11.01	10.959	10.872	10.75	10.591	10.394	10.16
6.431	6.668	6.9273	7.2022	7.4713	7.7192	7.9409	8.1365	8.2991	8.4291	8.5284	8.5966	8.639	8.6756	8.7066	8.7564	8.847	8.9484	9.0573	9.1743	9.3011	9.4466	9.6431	9.8758	10.119	10.354	10.578	10.78	10.954	11.098	11.205	11.275	11.305	11.296	11.246	11.156	11.026	10.858	10.652	10.409	10.133
6.6342	6.7789	6.9398	7.1177	7.2948	7.4609	7.6128	7.7504	7.8688	7.9699	8.0553	8.1245	8.1833	8.2494	8.3225	8.4234	8.571	8.7402	8.9283	9.1357	9.3638	9.6206	9.9387	10.3	10.677	11.044	11.399	11.727	12.018	12.268	12.467	12.616	12.711	12.751	12.736	12.666	12.543	12.367	12.138	11.862	11.541
6.5823	6.7362	6.9095	7.1022	7.291	7.4627	7.6132	7.7425	7.8448	7.9204	7.9712	7.9965	8.001	8.0033	8.0033	8.025	8.0884	8.1638	8.2468	8.3379	8.4381	8.5552	8.7193	8.9172	9.1251	9.3268	9.5206	9.697	9.8507	9.9798	10.079	10.148	10.184	10.186	10.154	10.088	9.9874	9.8537	9.6862	9.4871	9.2577
6.523	6.6983	6.893	7.1056	7.3143	7.5059	7.6762	7.8254	7.9472	8.0423	8.1124	8.1569	8.1806	8.2018	8.2206	8.26	8.3397	8.4316	8.5319	8.6413	8.7608	8.8985	9.0845	9.3051	9.5362	9.7607	9.9769	10.174	10.347	10.493	10.607	10.687	10.731	10.738	10.706	10.636	10.527	10.38	10.194	9.9717	9.7141
6.7337	6.8439	6.967	7.1069	7.2462	7.3766	7.4956	7.6033	7.6953	7.7749	7.8438	7.9015	7.9547	8.0207	8.0996	8.2116	8.3754	8.5666	8.7826	9.0239	9.2917	9.5942	9.9653	10.385	10.822	11.25	11.664	12.048	12.387	12.679	12.912	13.085	13.196	13.245	13.234	13.16	13.03	12.845	12.604	12.314	11.98
6.7453	6.8671	7.007	7.1685	7.3296	7.4796	7.615	7.7358	7.8368	7.9197	7.9861	8.0354	8.0732	8.1177	8.1689	8.2497	8.3796	8.5307	8.6991	8.8852	9.0899	9.3214	9.6119	9.9451	10.294	10.639	10.976	11.292	11.581	11.839	12.058	12.239	12.377	12.471	12.521	12.527	12.488	12.405	12.278	12.109	11.9
6.5462	6.7883	7.0532	7.3341	7.6088	7.8613	8.0866	8.2848	8.4489	8.5786	8.6761	8.7405	8.7769	8.8046	8.8238	8.8587	8.9307	9.01	9.094	9.1833	9.2796	9.3925	9.5529	9.748	9.9538	10.154	10.347	10.523	10.678	10.809	10.91	10.981	11.018	11.021	10.988	10.918	10.812	10.668	10.488	10.272	10.02
6.9053	7.1619	7.4423	7.7399	8.0303	8.2967	8.5342	8.7426	8.9149	9.0505	9.1512	9.2164	9.2503	9.2721	9.2819	9.304	9.3596	9.4189	9.4796	9.5428	9.6106	9.6934	9.8216	9.9851	10.162	10.34	10.518	10.688	10.848	10.994	11.121	11.228	11.31	11.363	11.386	11.378	11.334	11.253	11.136	10.981	10.787
7.1256	7.244	7.3754	7.5242	7.6728	7.8127	7.9412	8.0584	8.16	8.2487	8.3261	8.3917	8.4516	8.5225	8.6042	8.7158	8.8752	9.0596	9.2672	9.4986	9.7556	10.046	10.404	10.809	11.234	11.651	12.059	12.44	12.784	13.086	13.336	13.533	13.672	13.753	13.775	13.738	13.641	13.487	13.275	13.009	12.692
6.9584	7.1451	7.3521	7.579	7.8012	8.005	8.1861	8.3445	8.474	8.5742	8.6467	8.6909	8.7104	8.7224	8.727	8.7464	8.7997	8.8592	8.9224	8.9898	9.0631	9.1514	9.2815	9.4446	9.6209	9.7992	9.9788	10.153	10.317	10.47	10.604	10.719	10.809	10.869	10.899	10.896	10.854	10.775	10.656	10.496	10.295
6.8218	6.9718	7.1403	7.3288	7.5165	7.6921	7.8519	7.996	8.1188	8.2212	8.305	8.3695	8.4196	8.4729	8.5291	8.6096	8.7332	8.8738	9.0286	9.1979	9.3831	9.5922	9.8557	10.159	10.477	10.791	11.098	11.387	11.651	11.887	12.087	12.25	12.373	12.451	12.485	12.473	12.413	12.306	12.152	11.951	11.705
6.6332	6.9348	7.2622	7.6037	7.9353	8.2382	8.5067	8.7409	8.9329	9.0822	9.191	9.2584	9.2895	9.3053	9.3059	9.3176	9.3635	9.4112	9.4581	9.5053	9.5548	9.6174	9.7251	9.8667	10.018	10.165	10.306	10.434	10.543	10.634	10.701	10.743	10.758	10.743	10.7	10.626	10.522	10.387	10.221	10.025	9.7991
7.038	7.2016	7.3856	7.5912	7.7952	7.9848	8.1559	8.3086	8.437	8.5414	8.6236	8.6828	8.7237	8.7638	8.8033	8.8642	8.966	9.0813	9.2069	9.3434	9.4923	9.6622	9.8826	10.141	10.415	10.689	10.962	11.223	11.468	11.694	11.893	12.066	12.205	12.307	12.372	12.396	12.377	12.315	12.208	12.056	11.859
6.6327	6.8767	7.1432	7.4258	7.7013	7.9536	8.1777	8.3736	8.5344	8.6593	8.7503	8.8068	8.8331	8.8479	8.8514	8.8673	8.9163	8.9693	9.0236	9.0801	9.1406	9.2147	9.3319	9.4813	9.6407	9.7967	9.948	10.087	10.209	10.313	10.393	10.449	10.477	10.473	10.439	10.372	10.27	10.134	9.9624	9.7554	9.5135
6.4323	6.5668	6.7191	6.8904	7.0594	7.2145	7.3518	7.4715	7.5681	7.6424	7.6961	7.7287	7.7452	7.7631	7.7824	7.8258	7.9121	8.0136	8.1259	8.2494	8.3846	8.539	8.742	8.9791	9.2262	9.465	9.6937	9.9011	10.081	10.231	10.345	10.423	10.462	10.461	10.421	10.341	10.222	10.065	9.8689	9.6376	9.3725
